Year,Country,PSI_AQI
2007,台中市,60
2007,彰化縣,57
2007,南投縣,66
2007,雲林縣,64
2007,嘉義市,65
2007,嘉義縣,66
2007,台南市,66
2007,高雄市,69
2007,屏東縣,62
2007,宜蘭縣,44
2007,花蓮縣,37
2007,台東縣,39
2008,全國,57
2008,基隆市,46
2008,台北市,52
2008,新北市,51
2008,桃園市,53
2008,新竹市,53
2008,新竹縣,53
2008,苗栗縣,54
2008,台中市,57
2008,彰化縣,58
2008,南投縣,64
2008,雲林縣,63
2008,嘉義市,63
2008,嘉義縣,66
2008,台南市,66
2008,高雄市,68
2008,屏東縣,61
2008,宜蘭縣,45
2008,花蓮縣,36
2008,台東縣,37
2009,全國,58
2009,基隆市,43
2009,台北市,52
2009,新北市,51
2009,桃園市,52
2009,新竹市,51
2009,新竹縣,52
2009,苗栗縣,54
2009,台中市,61
2009,彰化縣,58
2009,南投縣,66
2009,雲林縣,66
2009,嘉義市,67
2009,嘉義縣,69
2009,台南市,68
2009,高雄市,70
2009,屏東縣,63
2009,宜蘭縣,45
2009,花蓮縣,36
2009,台東縣,43
2010,全國,56
2010,基隆市,44
2010,台北市,52
2010,新北市,52
2010,桃園市,54
2010,新竹市,51
2010,新竹縣,53
2010,苗栗縣,53
2010,台中市,58
2010,彰化縣,58
2010,南投縣,63
2010,雲林縣,61
2010,嘉義市,64
2010,嘉義縣,64
2010,台南市,64
2010,高雄市,66
2010,屏東縣,60
2010,宜蘭縣,44
2010,花蓮縣,38
2010,台東縣,38
2011,全國,55
2011,基隆市,45
2011,台北市,49
2011,新北市,49
2011,桃園市,50
2011,新竹市,50
2011,新竹縣,51
2011,苗栗縣,52
2011,台中市,56
2011,彰化縣,56
2011,南投縣,63
2011,雲林縣,60
2011,嘉義市,64
2011,嘉義縣,60
2011,台南市,63
2011,高雄市,66
2011,屏東縣,57
2011,宜蘭縣,41
2011,花蓮縣,36
2011,台東縣,36
2012,全國,53
2012,基隆市,43
2012,台北市,47
2012,新北市,48
2012,桃園市,49
2012,新竹市,49
2012,新竹縣,50
2012,苗栗縣,49
2012,台中市,54
2012,彰化縣,54
2012,南投縣,59
2012,雲林縣,58
2012,嘉義市,62
2012,嘉義縣,60
2012,台南市,62
2012,高雄市,62
2012,屏東縣,56
2012,宜蘭縣,40
2012,花蓮縣,35
2012,台東縣,37
2012,澎湖縣,48
2012,連江縣,55
2012,金門縣,61
2013,全國,55
2013,基隆市,45
2013,台北市,49
2013,新北市,50
2013,桃園市,52
2013,新竹市,51
2013,新竹縣,51
2013,苗栗縣,51
2013,台中市,56
2013,彰化縣,57
2013,南投縣,63
2013,雲林縣,61
2013,嘉義市,62
2013,嘉義縣,64
2013,台南市,64
2013,高雄市,64
2013,屏東縣,58
2013,宜蘭縣,40
2013,花蓮縣,35
2013,台東縣,37
2013,澎湖縣,50
2013,連江縣,58
2013,金門縣,62
2014,全國,77
2014,基隆市,64
2014,台北市,65
2014,新北市,71
